timestamp,snap_idx,node_a,node_b,age_stored,true_age
2026-04-13 17:52:15.247,74,13,27,2,1
2026-04-13 17:52:15.247,74,14,36,1,0
2026-04-13 17:52:15.247,74,14,39,1,0
2026-04-13 17:52:15.247,74,15,26,1,0
2026-04-13 17:52:15.247,74,16,28,1,0
2026-04-13 17:52:15.247,74,16,35,3,2
2026-04-13 17:52:15.247,74,17,24,2,1
2026-04-13 17:52:15.247,74,17,39,1,0
2026-04-13 17:52:15.247,74,18,22,2,1
2026-04-13 17:52:15.247,74,18,33,1,0
2026-04-13 17:52:15.247,74,19,32,5,4
2026-04-13 17:52:15.247,74,19,38,3,2
2026-04-13 17:52:15.247,74,20,30,1,0
2026-04-13 17:52:15.247,74,21,28,2,1
2026-04-13 17:52:15.247,74,23,38,1,0
2026-04-13 17:52:15.247,74,24,29,1,0
2026-04-13 17:52:15.247,74,34,36,4,3
2026-04-13 17:52:15.279,75,0,27,1,0
2026-04-13 17:52:15.279,75,0,30,1,0
2026-04-13 17:52:15.279,75,1,34,1,0
2026-04-13 17:52:15.279,75,2,29,2,1
2026-04-13 17:52:15.279,75,3,31,1,0
2026-04-13 17:52:15.279,75,4,6,1,0
2026-04-13 17:52:15.279,75,4,35,2,1
2026-04-13 17:52:15.279,75,5,25,4,3
2026-04-13 17:52:15.279,75,5,37,1,0
2026-04-13 17:52:15.279,75,6,23,4,3
2026-04-13 17:52:15.279,75,7,33,1,0
2026-04-13 17:52:15.279,75,7,37,4,3
2026-04-13 17:52:15.279,75,8,15,1,0
2026-04-13 17:52:15.279,75,9,19,6,5
2026-04-13 17:52:15.279,75,9,32,1,0
2026-04-13 17:52:15.279,75,10,21,2,1
2026-04-13 17:52:15.279,75,11,20,2,1
2026-04-13 17:52:15.279,75,11,26,1,0
2026-04-13 17:52:15.279,75,12,25,17,16
2026-04-13 17:52:15.279,75,12,31,1,0
2026-04-13 17:52:15.279,75,13,22,1,0
2026-04-13 17:52:15.279,75,13,27,3,2
2026-04-13 17:52:15.279,75,14,36,1,0
2026-04-13 17:52:15.279,75,14,39,4,3
2026-04-13 17:52:15.279,75,15,26,1,0
2026-04-13 17:52:15.279,75,16,28,3,2
2026-04-13 17:52:15.279,75,16,35,1,0
2026-04-13 17:52:15.279,75,17,24,1,0
2026-04-13 17:52:15.279,75,17,39,3,2
2026-04-13 17:52:15.279,75,18,22,1,0
2026-04-13 17:52:15.279,75,18,33,4,3
2026-04-13 17:52:15.279,75,19,32,7,6
2026-04-13 17:52:15.279,75,19,38,1,0
2026-04-13 17:52:15.279,75,20,30,1,0
2026-04-13 17:52:15.279,75,21,28,1,0
2026-04-13 17:52:15.279,75,23,38,1,0
2026-04-13 17:52:15.279,75,24,29,1,0
2026-04-13 17:52:15.279,75,34,36,5,4
2026-04-13 17:52:15.298,76,0,27,1,0
2026-04-13 17:52:15.298,76,0,30,2,1
2026-04-13 17:52:15.298,76,1,34,1,0
2026-04-13 17:52:15.298,76,2,29,2,1
2026-04-13 17:52:15.298,76,3,31,1,0
2026-04-13 17:52:15.298,76,4,6,5,4
2026-04-13 17:52:15.298,76,4,35,1,0
2026-04-13 17:52:15.298,76,5,25,2,1
2026-04-13 17:52:15.298,76,5,37,1,0
2026-04-13 17:52:15.298,76,6,23,1,0
2026-04-13 17:52:15.298,76,7,33,1,0
2026-04-13 17:52:15.298,76,7,37,3,2
2026-04-13 17:52:15.298,76,8,15,1,0
2026-04-13 17:52:15.298,76,9,19,2,1
2026-04-13 17:52:15.298,76,9,32,1,0
2026-04-13 17:52:15.298,76,10,21,1,0
2026-04-13 17:52:15.298,76,11,20,2,1
