timestamp,sample_idx,s1,s2,deg_s1,deg_s2,err32,s1x_raw,s1y_raw,node_count,conn,rm,iso,iso_id,ins,ins_id,fpga_ts_cycles,iter_us
2026-04-13 17:53:02.335,41,29,7,2,2,4424,-415,151,40,1,0,0,39,0,39,112125417,546.704
2026-04-13 17:53:02.335,42,6,29,2,2,5631,-242,344,40,1,0,0,39,0,39,112140178,546.704
2026-04-13 17:53:02.335,43,35,28,2,2,1805,-143,916,40,1,0,0,39,0,39,112154939,546.704
2026-04-13 17:53:02.335,44,26,14,2,2,1330,204,396,40,1,0,0,39,0,39,112169700,546.704
2026-04-13 17:53:02.335,45,2,19,2,2,2659,348,-257,40,1,0,0,39,0,39,112184461,546.704
2026-04-13 17:53:02.335,46,26,14,2,2,1376,212,399,40,1,0,0,39,0,39,112199222,546.704
2026-04-13 17:53:02.335,47,22,13,2,2,1858,141,-976,40,1,0,0,39,0,39,112213983,546.704
2026-04-13 17:53:02.350,48,25,20,2,2,4160,-349,-267,40,1,0,0,39,0,39,112228744,546.704
2026-04-13 17:53:02.350,49,13,38,2,2,5512,413,-882,40,1,0,0,39,0,39,112243505,546.704
2026-04-13 17:53:02.351,50,5,18,2,2,1669,-942,-359,40,1,0,0,39,0,39,112370621,4708.000
2026-04-13 17:53:02.351,51,11,26,2,2,2578,-27,435,40,1,0,0,39,0,39,112385382,546.704
2026-04-13 17:53:02.351,52,24,28,2,2,573,357,893,40,1,0,0,39,0,39,112400143,546.704
2026-04-13 17:53:02.351,53,6,11,2,2,5513,-231,338,40,1,0,0,39,0,39,112414904,546.704
2026-04-13 17:53:02.351,54,27,9,2,2,3315,-567,-824,40,1,0,0,39,0,39,112429665,546.704
2026-04-13 17:53:02.351,55,29,7,2,2,4290,-416,139,40,1,0,0,39,0,39,112444426,546.704
2026-04-13 17:53:02.351,56,29,6,2,2,5506,-404,179,40,1,0,0,39,0,39,112459187,546.704
2026-04-13 17:53:02.351,57,17,12,2,2,1280,-556,753,40,1,0,0,39,0,39,112473948,546.704
2026-04-13 17:53:02.351,58,27,0,2,2,3804,-595,-821,40,1,0,0,39,0,39,112488709,546.704
2026-04-13 17:53:02.351,59,10,24,2,2,5558,573,714,40,1,0,0,39,0,39,112503470,546.704
2026-04-13 17:53:02.351,60,9,34,2,2,1261,-323,-951,40,1,0,0,39,0,39,112518231,546.704
2026-04-13 17:53:02.351,61,23,4,2,2,260,856,-462,40,1,0,0,39,0,39,112532992,546.704
2026-04-13 17:53:02.351,62,7,29,2,2,4818,-453,-47,40,1,0,0,39,0,39,112547753,546.704
2026-04-13 17:53:02.351,63,16,8,2,2,2267,803,435,40,1,0,0,39,0,39,112562514,546.704
2026-04-13 17:53:02.351,64,14,33,2,2,2385,319,240,40,1,0,0,39,0,39,112577275,546.704
2026-04-13 17:53:02.351,65,14,26,2,2,2571,319,256,40,1,0,0,39,0,39,112592036,546.704
2026-04-13 17:53:02.351,66,14,26,2,2,2689,307,249,40,1,0,0,39,0,39,112606797,546.704
2026-04-13 17:53:02.351,67,19,33,2,2,6094,412,-70,40,1,0,0,39,0,39,112621558,546.704
2026-04-13 17:53:02.368,68,25,20,2,2,3945,-339,-267,40,1,0,0,39,0,39,112636319,546.704
2026-04-13 17:53:02.368,69,7,29,2,2,5186,-435,-30,40,1,0,0,39,0,39,112651080,546.704
2026-04-13 17:53:02.368,70,17,3,2,2,1384,-566,741,40,1,0,0,39,0,39,112665841,546.704
2026-04-13 17:53:02.368,71,16,10,2,2,2765,798,463,40,1,0,0,39,0,39,112680602,546.704
2026-04-13 17:53:02.368,72,8,16,2,2,4948,921,117,40,1,0,0,39,0,39,112695363,546.704
2026-04-13 17:53:02.368,73,0,18,2,2,657,-740,-629,40,1,0,0,39,0,39,112710124,546.704
2026-04-13 17:53:02.368,74,19,33,2,2,6409,391,-54,40,1,0,0,39,0,39,112724885,546.704
2026-04-13 17:53:02.368,75,26,11,2,2,1489,193,402,40,1,0,0,39,0,39,112739646,546.704
2026-04-13 17:53:02.368,76,23,4,2,2,272,856,-457,40,1,0,0,39,0,39,112754407,546.704
2026-04-13 17:53:02.368,77,3,37,2,2,1790,-772,586,40,1,0,0,39,0,39,112769168,546.704
2026-04-13 17:53:02.368,78,1,20,2,2,1798,-31,-429,40,1,0,0,39,0,39,112783929,546.704
2026-04-13 17:53:02.368,79,29,7,2,2,5069,-412,178,40,1,0,0,39,0,39,112798690,546.704
2026-04-13 17:53:02.368,80,20,25,2,2,1889,-212,-434,40,1,0,0,39,0,39,112813451,546.704
2026-04-13 17:53:02.368,81,33,14,2,2,778,426,142,40,1,0,0,39,0,39,112828212,546.704
2026-04-13 17:53:02.368,82,6,11,2,2,5136,-220,326,40,1,0,0,39,0,39,112842973,546.704
2026-04-13 17:53:02.368,83,28,24,2,2,986,101,971,40,1,0,0,39,0,39,112857734,546.704
2026-04-13 17:53:02.368,84,21,30,2,2,255,-1000,30,40,1,0,0,39,0,39,112872495,546.704
2026-04-13 17:53:02.368,85,12,35,2,2,1535,-336,888,40,1,0,0,39,0,39,112887256,546.704
2026-04-13 17:53:02.368,86,31,2,2,2,1325,184,-343,40,1,0,0,39,0,39,112902017,546.704
2026-04-13 17:53:02.368,87,13,22,2,2,5765,386,-910,40,1,0,0,39,0,39,112916778,546.704
2026-04-13 17:53:02.368,88,34,22,2,2,2034,-103,-964,40,1,0,0,39,0,39,112931539,546.704
2026-04-13 17:53:02.368,89,37,3,2,2,1187,-843,394,40,1,0,0,39,0,39,112946300,546.704
2026-04-13 17:53:02.368,90,38,4,2,2,275,600,-795,40,1,0,0,39,0,39,112961061,546.704
2026-04-13 17:53:02.368,91,13,38,2,2,6360,391,-880,40,1,0,0,39,0,39,112975822,546.704
2026-04-13 17:53:02.369,92,25,7,2,2,3929,-346,-232,40,1,0,0,39,0,39,112990583,546.704
2026-04-13 17:53:02.369,93,28,35,2,2,1107,88,979,40,1,0,0,39,0,39,113005344,546.704
